date,hs300_ma5,hs300_ma20,hs300_std20,hs300_atr14,hs300_rsi14,hs300_macd_dif,hs300_macd_dea,hs300_macd_bar,hs300_ma20_vol,hs300_ma20_amt,hs300_obv,zz500_ma5,zz500_ma20,zz500_std20,zz500_atr14,zz500_rsi14,zz500_macd_dif,zz500_macd_dea,zz500_macd_bar,zz500_ma20_vol,zz500_ma20_amt,zz500_obv,kc50_ma5,kc50_ma20,kc50_std20,kc50_atr14,kc50_rsi14,kc50_macd_dif,kc50_macd_dea,kc50_macd_bar,kc50_ma20_vol,kc50_ma20_amt,kc50_obv,consume_ma5,consume_ma20,consume_std20,consume_atr14,consume_rsi14,consume_macd_dif,consume_macd_dea,consume_macd_bar,consume_ma20_vol,consume_ma20_amt,consume_obv,chip_ma5,chip_ma20,chip_std20,chip_atr14,chip_rsi14,chip_macd_dif,chip_macd_dea,chip_macd_bar,chip_ma20_vol,chip_ma20_amt,chip_obv,gold_ma5,gold_ma20,gold_std20,gold_atr14,gold_rsi14,gold_macd_dif,gold_macd_dea,gold_macd_bar,gold_ma20_vol,gold_ma20_amt,gold_obv,bond10_ma5,bond10_ma20,bond10_std20,bond10_atr14,bond10_rsi14,bond10_macd_dif,bond10_macd_dea,bond10_macd_bar,bond10_ma20_vol,bond10_ma20_amt,bond10_obv
2015-01-05,3.5438000000038405,3.357450000005767,0.1390375675985654,0.1172010645261324,76.47472421045805,0.179987373443708,0.1719599300852084,0.0080274433584996,1891840844.8,6374724271.699198,16648410248.0,1.4973999999993004,1.5139999999986111,0.0350038255308837,0.0373211766400995,53.81351551641499,0.0092625750154824,0.0166982095634367,-0.00743563454795431,58941759.2,89271589.71380004,2828509189.0,,,,,,,,,,,,1.1535999999996145,1.1383000000075234,0.0192694663435794,0.0258509308138776,72.37337672909146,0.0212617119105673,0.0204139016564744,0.0008478102540929,1708413.3,1936755.9045999865,644879349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,3.577000000003841,3.3825500000057667,0.1464235131508555,0.1156867027742658,74.22228355911611,0.1841831388594004,0.1744045718400468,0.0097785670193535,1873161798.4,6355898600.268798,15046067848.0,1.5007999999993005,1.5158499999986117,0.0351396542641079,0.0380125211658066,57.283504292727415,0.0112989394849831,0.015618355547746,-0.00431941606276286,57351329.8,86935948.43420003,2854678049.0,,,,,,,,,,,,1.1655999999996145,1.1428000000075234,0.0235661268158074,0.0270044357557434,73.46488811665456,0.0245124042171487,0.0212336021686092,0.0032788020485394,1400031.95,1601015.3559999862,646748913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,3.61340000000384,3.400000000005767,0.1574741175661456,0.1120662240046754,74.12823248562798,0.1852916942265734,0.1765819963173521,0.0087096979092212,1875252217.6,6392564581.049598,13341745672.0,1.5089999999993002,1.5167499999986114,0.0354380487866368,0.0372259125111062,57.4332452316488,0.0128453909698058,0.015063762632158,-0.00221837166235214,55591456.6,84276112.51940003,2869579689.0,,,,,,,,,,,,1.1759999999996145,1.1465000000075234,0.0255764018783569,0.0268612617731903,68.86071820874575,0.025902406403591,0.0221673630156056,0.0037350433879854,1321996.4,1517753.4435499862,645609470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,3.63380000000384,3.4226000000057666,0.1493269490178457,0.1120614937186271,66.83215283622454,0.1776668678706374,0.1767989706280092,0.0008678972426282,1856077644.8,6360484854.803198,12105609096.0,1.5195999999993002,1.5200499999986117,0.0326866226737025,0.0362812044745986,54.55018395623961,0.0127938029197973,0.0146097706896858,-0.0018159677698885,53987511.2,81997951.26160005,2851765389.0,,,,,,,,,,,,1.1887999999996146,1.151200000007523,0.0252341501337494,0.0261568859322482,68.44078665255262,0.0266164832573154,0.0230571870639476,0.0035592961933678,1189566.1,1375956.2223499862,644784766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,3.63020000000384,3.438250000005767,0.1460499407832717,0.1171285298815823,64.60653588099875,0.1675942333425317,0.1749580231709137,-0.00736378982838198,1842130361.6,6347775396.793597,10027552776.0,1.5247999999993005,1.5200999999986116,0.0326780936073857,0.0356896898692701,52.915550185487525,0.0119694099698501,0.0140816985457187,-0.00211228857586855,53176061.8,80771323.82940003,2813626201.0,,,,,,,,,,,,1.1945999999996146,1.1535000000075233,0.0255646696231007,0.0261456797942304,62.30325631711556,0.0256760422366457,0.0235809580984872,0.0020950841381585,1118757.2,1296639.618649986,644389166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,3.6016000000038404,3.455100000005767,0.1377159674932507,0.1154050634614693,63.64091772192694,0.1569151694433892,0.1713494524254088,-0.0144342829820195,1815206758.4,6284702138.585597,8644902280.0,1.5207999999993005,1.5180999999986111,0.0330493237723355,0.0352118548786079,48.60235658516848,0.0094321287700926,0.0131517845905935,-0.00371965582050083,51954962.7,78841742.25710003,2784807875.0,,,,,,,,,,,,1.1889999999996148,1.1549500000075232,0.0256933811110254,0.0293495598089283,59.25142269682214,0.0240084483630538,0.0236664561514005,0.0003419922116532,1192868.55,1385653.971749986,641369034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,3.5766000000038405,3.471100000005767,0.1274460187782222,0.1117332732142215,62.99566525470509,0.1462017698706317,0.1663199159144534,-0.0201181460438217,1796481993.6,6239961686.995197,7675162184.0,1.5163999999993003,1.5166999999986113,0.0325972054293729,0.0362681509587074,52.57605253987402,0.0090119554224752,0.0123238187569698,-0.00331186333449463,48953663.5,74145127.13070002,2833816275.0,,,,,,,,,,,,1.1815999999996147,1.1558500000075234,0.0258540099965695,0.0291817341082905,58.480193258743405,0.022268784235732,0.0233869217682668,-0.00111813753253477,1172805.0,1363178.495699986,640682734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,3.5502000000038407,3.4848500000057667,0.1178640114804449,0.1096808965560628,62.21924897131571,0.1355037870729369,0.1601566901461501,-0.0246529030732131,1788181193.6,6226186076.115198,6711999048.0,1.5105999999993005,1.5137499999986113,0.030514837404069,0.0351775687473711,51.354405430676586,0.0081014269544275,0.0114793403964613,-0.00337791344203389,48004331.1,72504242.27470002,2781856619.0,,,,,,,,,,,,1.173999999999615,1.1556500000075232,0.0258288565930855,0.0285258959576983,53.94330290173237,0.0196947592444032,0.0226484892634941,-0.0029537300190909,1153585.3,1340751.039799986,640115813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,3.559800000003841,3.4998000000057665,0.1163544485702583,0.1112751182306297,67.59554725826756,0.1335551818944247,0.154836388495805,-0.0212812066013803,1771683273.6,6190844829.151998,8023927112.0,1.5125999999993005,1.5118999999986111,0.0280723672281367,0.0363077424082732,55.94746561743912,0.0092900279899523,0.0110414779151595,-0.00175144992520721,47237634.7,71222125.39390002,2824236907.0,,,,,,,,,,,,1.1685999999996146,1.1565000000075234,0.0259085378378076,0.027631189103577,56.94118788378715,0.0182513520945655,0.0217690618297084,-0.00351770973514289,1134277.25,1318987.452049986,640634248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,3.58100000000384,3.5135000000057666,0.1184953488620178,0.1072554669284419,69.11036441690392,0.1330592071033463,0.1504809522173133,-0.017421745113967,1737137910.4,6091798661.638397,9337322952.0,1.518999999999301,1.5113499999986113,0.0272597744266153,0.0356429036648251,58.3207574706111,0.0112322079694666,0.011079623926021,0.0001525840434456,46102083.9,69430006.54630002,2865929091.0,,,,,,,,,,,,1.1671999999996143,1.1587000000075234,0.0252549467007968,0.0263718184533215,58.39925648288982,0.01731134532937,0.0208775185296407,-0.00356617320027067,1110221.4,1293755.0132499863,641499048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
