date,year,month,index_code,turnover
2015-02-04,2015,2,932.0,0.0012849538988611
2015-02-04,2015,2,995.0,0.0074119518864943
2015-02-04,2015,2,12.0,0.0030781366983841
2015-02-05,2015,2,300.0,0.0743791578480914
2015-02-05,2015,2,905.0,0.0156209696232033
2015-02-05,2015,2,932.0,0.001520178480487
2015-02-05,2015,2,995.0,0.0095927901086758
2015-02-05,2015,2,12.0,0.003089808665832
2015-02-06,2015,2,300.0,0.0581641796632069
2015-02-06,2015,2,905.0,0.0137814943127872
2015-02-06,2015,2,932.0,0.0014704609308177
2015-02-06,2015,2,995.0,0.0101739969143443
2015-02-06,2015,2,12.0,0.0008157644113685
2015-02-09,2015,2,300.0,0.0515116238548369
2015-02-09,2015,2,905.0,0.0101496283179539
2015-02-09,2015,2,932.0,0.0010878574314653
2015-02-09,2015,2,995.0,0.0066590131361958
2015-02-09,2015,2,12.0,0.002330411603506
2015-02-10,2015,2,300.0,0.0467601271873348
2015-02-10,2015,2,905.0,0.0098506869384221
2015-02-10,2015,2,932.0,0.0010862436859958
2015-02-10,2015,2,995.0,0.0054580442113795
2015-02-10,2015,2,12.0,0.0007169249389733
2015-02-11,2015,2,300.0,0.0421108195277747
2015-02-11,2015,2,905.0,0.0102909908316267
2015-02-11,2015,2,932.0,0.0013603422781612
2015-02-11,2015,2,995.0,0.0049898152265511
2015-02-11,2015,2,12.0,0.0022453107260131
2015-02-12,2015,2,300.0,0.0453347104773511
2015-02-12,2015,2,905.0,0.0110346793125073
2015-02-12,2015,2,932.0,0.001626839714099
2015-02-12,2015,2,995.0,0.0053630453419975
2015-02-12,2015,2,12.0,0.0014985875514389
2015-02-13,2015,2,300.0,0.0579538720651283
2015-02-13,2015,2,905.0,0.014266335163258
2015-02-13,2015,2,932.0,0.0018745630871347
2015-02-13,2015,2,995.0,0.0071428619145474
2015-02-13,2015,2,12.0,0.0022358923216781
2015-02-16,2015,2,300.0,0.047333090059303
2015-02-16,2015,2,905.0,0.0140220784218921
2015-02-16,2015,2,932.0,0.0016546705749823
2015-02-16,2015,2,995.0,0.0055893901295946
2015-02-16,2015,2,12.0,0.0015817835293479
2015-02-17,2015,2,300.0,0.0469373101039598
2015-02-17,2015,2,905.0,0.0136926966868084
2015-02-17,2015,2,932.0,0.0015237809764175
2015-02-17,2015,2,995.0,0.0051539501826247
2015-02-17,2015,2,12.0,0.0010578804955953
2015-02-25,2015,2,300.0,0.0475861568981084
2015-02-25,2015,2,905.0,0.0141454462834235
2015-02-25,2015,2,932.0,0.0015102200352212
2015-02-25,2015,2,995.0,0.0078322401274555
2015-02-25,2015,2,12.0,0.0003041823034507
2015-02-26,2015,2,300.0,0.0643043920931947
2015-02-26,2015,2,905.0,0.0152307355470431
2015-02-26,2015,2,932.0,0.0016494050696016
2015-02-26,2015,2,995.0,0.0074233129457442
2015-02-26,2015,2,12.0,0.0020738663686545
2015-02-27,2015,2,300.0,0.0623555056855283
2015-02-27,2015,2,905.0,0.0160440763696644
2015-02-27,2015,2,932.0,0.0016219377780922
2015-02-27,2015,2,995.0,0.0067438156822257
2015-02-27,2015,2,12.0,0.0011810525887884
2015-03-02,2015,3,300.0,0.0689135978607517
2015-03-02,2015,3,905.0,0.020723068143025
2015-03-02,2015,3,932.0,0.0020938755081076
2015-03-02,2015,3,995.0,0.0090237735421316
2015-03-02,2015,3,12.0,0.0018097240562045
2015-03-03,2015,3,300.0,0.0746505020097494
2015-03-03,2015,3,905.0,0.0240172456173381
2015-03-03,2015,3,932.0,0.0022617629546258
2015-03-03,2015,3,995.0,0.0100314701409694
2015-03-03,2015,3,12.0,0.0003549490134474
2015-03-04,2015,3,300.0,0.056548867091006
2015-03-04,2015,3,905.0,0.0191977864302597
2015-03-04,2015,3,932.0,0.0025725779697167
