日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB中位数,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2021-09-14,=11596.1237,=12484.1181,=2056043916576.2900,=1750082514478,=1115638828004.9102,=8.2607,=0.8557,=7.5303,=6.2682,=5.7158
2021-09-13,=11553.5498,=12438.2841,=2046199618499.2800,=1744104509163,=1112585563514.0598,=8.0672,=0.8396,=7.4836,=6.2682,=5.7158
2021-09-10,=12034.0405,=12955.5692,=2134296683712.9800,=1787726984560,=1157373858480.4900,=8.6896,=0.9008,=7.4747,=6.2682,=5.7158
2021-09-09,=11555.9262,=12440.8425,=2045399494804.4805,=1716608770683,=1113767269295.7605,=8.3988,=0.8668,=7.4718,=6.2657,=5.7158
2021-09-08,=11614.1040,=12503.4753,=2054568769213.7900,=1724866483638,=1118458619318.1799,=8.5011,=0.8765,=7.4718,=6.2632,=5.7041
2021-09-07,=11753.6572,=12653.7150,=2076330286155.8000,=1744784860876,=1131862175974.4199,=8.5686,=0.8922,=7.4643,=6.2606,=5.7041
2021-09-06,=11724.2037,=12622.0061,=2073425450835.3096,=1739951424291,=1128197701960.1399,=8.5424,=0.8880,=7.4466,=6.2580,=5.7041
2021-09-03,=11499.5733,=12380.1742,=2029890408174.7104,=1704690434633,=1105965837422.6399,=8.3255,=0.8657,=7.3748,=6.2554,=5.7041
2021-09-02,=11585.3766,=12472.5480,=2044644674048.3296,=1717762587244,=1115665461452.5400,=8.1591,=0.8594,=7.3546,=6.2527,=5.7041
2021-09-01,=11931.3766,=12845.0436,=2113598859847.1299,=1771419069901,=1150442663291.0398,=8.4510,=0.8773,=7.3546,=6.2516,=5.7020
2021-08-31,=12068.2385,=12992.3860,=2127156811154.9800,=1789460842533,=1160346313373.6899,=8.5519,=0.8891,=7.3232,=6.2505,=5.7020
2021-08-30,=12416.9289,=13367.7780,=2195705067468.9397,=1833874319323,=1188805449931.1799,=9.2843,=0.9354,=7.3157,=6.2456,=5.7020
