日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM市值加权,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2020-03-19,=7840.9185,=8405.1285,=1069616946151.8000,=817120395210,=455421877074.5907,=7.2097,=0.8156,=7.1942,=4.9354,=4.4700
2020-03-18,=7581.0016,=8126.5087,=1033652133174.8000,=789006789005,=440412524662.1381,=6.9673,=0.7571,=7.0795,=4.9139,=4.4700
2020-03-17,=7687.7331,=8240.9203,=1047491181480.3000,=800232922285,=446605120120.9580,=7.0605,=0.7698,=7.0795,=4.9077,=4.4700
2020-03-16,=7526.5879,=8068.1796,=1026389339402.1000,=780592074132,=437241109029.6743,=6.9183,=0.7609,=7.0795,=4.9014,=4.4700
2020-03-13,=8034.0836,=8612.1933,=1096129626524.7000,=833063874426,=466743321538.3017,=7.3884,=0.8467,=7.1942,=4.9003,=4.4551
2020-03-12,=7803.3259,=8364.8310,=1071484308029.5000,=810189459888,=453289220127.8075,=7.2223,=0.8235,=7.0795,=4.8992,=4.4551
2020-03-11,=7767.1473,=8326.0491,=1067320886185.2000,=809042623396,=451162457183.6244,=7.1942,=0.8148,=7.0790,=4.8969,=4.4551
2020-03-10,=8112.2350,=8695.9683,=1113191619551.1001,=845380650341,=471210741355.0870,=7.5034,=0.8731,=7.0745,=4.8945,=4.4551
2020-03-09,=7546.3710,=8089.3863,=1038458676140.5000,=786081928659,=438346606344.4892,=6.9997,=0.7895,=7.0672,=4.8597,=4.4551
2020-03-06,=8254.8278,=8848.8216,=1138506271556.2998,=861048603310,=479525542659.2321,=7.6740,=0.8788,=7.0745,=4.8250,=4.4544
2020-03-05,=8369.8426,=8972.1126,=1152883979681.7998,=871842159202,=486325733035.6124,=7.7709,=0.9084,=7.0672,=4.8138,=4.4544
2020-03-04,=8287.3606,=8883.6954,=1140804969599.3999,=863128559876,=481578690215.7067,=7.6895,=0.8923,=6.6556,=4.8027,=4.4544
2020-03-03,=8624.3953,=9244.9822,=1186282065794.6001,=898691103835,=501143474381.2033,=7.9960,=0.9380,=6.6372,=4.7751,=4.4544
2020-03-02,=8575.5224,=9192.5926,=1177696731565.1001,=892370597729,=498317163962.4830,=7.9382,=0.9375,=6.6242,=4.7476,=4.4544
2020-02-28,=8530.7854,=9144.6364,=1173975024229.8000,=888069410906,=495637967412.0915,=7.9131,=0.9370,=6.6242,=4.7473,=4.4527
2020-02-27,=9051.5656,=9702.8904,=1244956421849.7998,=940974017322,=525981540432.5441,=8.3915,=0.9603,=6.5921,=4.7470,=4.4527
2020-02-26,=9460.0387,=10140.7560,=1302868660092.8000,=983252345101,=549780835373.7487,=8.7819,=0.9760,=6.4508,=4.7382,=4.4527
2020-02-25,=10378.4167,=11125.2179,=1427202742212.3003,=1080162135396,=603225131207.2939,=9.6200,=1,=6.3927,=4.7294,=4.4527
2020-02-24,=10042.2271,=10764.8371,=1387910666465.2000,=1045230675406,=583532259136.6410,=9.3551,=1,=6.0676,=4.7247,=4.4527
2020-02-21,=9505.5131,=10189.5027,=1308706177628.5000,=991918626304,=552417527418.1603,=8.8212,=1,=6.0676,=4.7200,=4.4471
2020-02-20,=9289.5458,=9957.9950,=1286680523185.8000,=969703510529,=539968466343.0096,=8.6728,=1,=5.8967,=4.7131,=4.4471
2020-02-19,=8920.8708,=9562.7912,=1234516715380.5000,=931883183691,=518319928092.9134,=8.3212,=1,=5.8257,=4.7061,=4.4471
2020-02-18,=8783.2885,=9415.3088,=1218933572419.6001,=915966261226,=510608725134.8604,=8.2161,=1,=5.8135,=4.7032,=4.4471
2020-02-17,=8395.1778,=8999.2708,=1169709645793.8999,=872085361341,=487905609859.6993,=7.8843,=1,=5.8026,=4.7003,=4.4471
2020-02-14,=8184.7117,=8773.6602,=1141827452597.5000,=848909863293,=475758439984.3495,=7.6964,=0.9915,=5.8026,=4.6966,=4.4468
2020-02-13,=8153.1604,=8739.8386,=1145182344169.8000,=847602869874,=473615243269.0859,=7.7190,=1,=5.7952,=4.6928,=4.4468
2020-02-12,=7937.4522,=8508.6086,=1111256856976.3999,=826358860048,=461118711150.9664,=7.4903,=1,=5.7944,=4.6868,=4.4468
2020-02-11,=7698.8552,=8252.8428,=1084060819894,=802349122015,=447334982659.9223,=7.3070,=0.9737,=5.7889,=4.6807,=4.4468
2020-02-10,=7617.4652,=8165.5962,=1069516619770,=793570215681,=442620850910.8516,=7.2090,=0.9646,=5.7723,=4.6754,=4.4468
2020-02-07,=7828.5899,=8391.9128,=1107508863102.5000,=818294908525,=454728500525.8245,=7.4651,=1,=5.7723,=4.6702,=4.4331
2020-02-06,=7544.4013,=8087.2748,=1075573828254,=789901367289,=437935693770.7014,=7.2498,=0.9820,=5.7677,=4.6626,=4.4331
2020-02-05,=7361.8106,=7891.5454,=1050303084364.1000,=772045166969,=427440982592.9475,=7.0795,=0.9818,=5.7347,=4.6551,=4.4331
2020-02-04,=7365.7646,=7895.7839,=1048476047840.3000,=773174857931,=427789545626.9198,=7.0672,=0.9633,=5.6537,=4.6505,=4.4331
2020-02-03,=6920.0014,=7417.9449,=978001124030.6000,=722698717261,=402004894821.9162,=6.5921,=0.9352,=5.6109,=4.6459,=4.4331
