日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),股息率中位数,股息率 分位点,股息率 80%分位点值,股息率 50%分位点值,股息率 20%分位点值
2024-03-12,=6615.5967,=7167.6210,=2056781955315.0801,=1487398021033,=1011089588046.7800,=0.0016,=0.3210,=0.0029,=0.0019,=0.0014
2024-03-11,=6589.0587,=7138.8686,=2056677273147.3501,=1481533952010,=1006740166542.3500,=0.0016,=0.3267,=0.0029,=0.0019,=0.0014
2024-03-08,=6513.3154,=7056.8050,=2030830180971.0601,=1463909452801,=995407728443.9102,=0.0016,=0.3333,=0.0029,=0.0019,=0.0014
2024-03-07,=6367.5830,=6898.9123,=1991485912144.9600,=1430637833853,=973179073903.8600,=0.0017,=0.3781,=0.0029,=0.0019,=0.0014
2024-03-06,=6510.0113,=7053.2252,=2034328455817.7900,=1461331907338,=994995070622.4596,=0.0016,=0.3330,=0.0029,=0.0019,=0.0014
2024-03-05,=6603.1310,=7154.1151,=2059733344499.1304,=1480320834143,=1009039853444.5900,=0.0017,=0.3697,=0.0029,=0.0019,=0.0014
2024-03-04,=6610.7693,=7162.3907,=2064079054919.5500,=1482958048985,=1010362830003.9402,=0.0017,=0.3745,=0.0029,=0.0019,=0.0014
2024-03-01,=6574.3770,=7122.9617,=2059023201336.2305,=1474738592263,=1004874981592.2500,=0.0017,=0.3904,=0.0029,=0.0019,=0.0014
2024-02-29,=6439.3320,=6976.6482,=2025458452301.1799,=1444916427387,=984138933852.2600,=0.0018,=0.4180,=0.0029,=0.0019,=0.0014
2024-02-28,=6060.1296,=6565.8041,=1907101948488.8201,=1358742577488,=926169943148.9502,=0.0019,=0.4713,=0.0029,=0.0019,=0.0014
2024-02-27,=6323.4822,=6851.1315,=1989674481419.5801,=1416405403403,=966474745367.4700,=0.0018,=0.4188,=0.0029,=0.0020,=0.0014
2024-02-26,=6036.0599,=6539.7259,=1897173430372.8301,=1353566372249,=922885500018.3900,=0.0019,=0.4521,=0.0029,=0.0020,=0.0014
2024-02-23,=6009.2341,=6510.6616,=1887045378129.3999,=1347279796836,=918950760269.6200,=0.0019,=0.4616,=0.0029,=0.0020,=0.0014
2024-02-22,=5994.5380,=6494.7392,=1885042133965.1296,=1342855320139,=916609385161.6598,=0.0019,=0.4629,=0.0029,=0.0020,=0.0014
2024-02-21,=5896.7244,=6388.7638,=1856802341804.6399,=1322015679570,=902126388514.2196,=0.0019,=0.4863,=0.0029,=0.0020,=0.0014
2024-02-20,=5876.0794,=6366.3961,=1849699473473.3201,=1314799984895,=898807941562.3597,=0.0019,=0.4913,=0.0029,=0.0020,=0.0014
