日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PS-TTM平均值,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2022-07-12,=8784.9071,=9479.2830,=2192644459410.1499,=1612975768154,=1094884175633.8618,=11.5695,=0.1724,=16.5976,=14.0181,=11.8652
2022-07-11,=9029.4372,=9743.1412,=2251371834806.0303,=1659066970502,=1124925669310.1753,=11.9997,=0.2083,=16.5976,=14.0202,=11.9224
2022-07-08,=9324.9626,=10062.0255,=2324904659740.9800,=1712453545870,=1161930988529.2429,=12.3651,=0.2371,=16.5976,=14.0223,=11.9224
2022-07-07,=9271.9359,=10004.8074,=2310450288757.6396,=1703653589540,=1155449109086.4106,=12.2473,=0.2260,=16.5976,=14.0258,=11.9224
2022-07-06,=9313.3185,=10049.4609,=2322100704674.1104,=1708922775981,=1161037815896.0264,=12.3672,=0.2364,=16.5976,=14.0293,=11.9224
2022-07-05,=9192.5997,=9919.2003,=2292900609950.3198,=1686552563117,=1146350475301.9131,=12.0426,=0.2123,=16.6020,=14.0330,=11.8652
2022-07-04,=9155.7915,=9879.4827,=2284225785951.3701,=1679306064117,=1141933827694.7554,=12.0180,=0.2098,=16.6020,=14.0368,=11.8652
2022-07-01,=9418.9444,=10163.4357,=2349231091015.3691,=1725412943610,=1174765535173.3950,=12.3950,=0.2388,=16.6020,=14.0395,=11.8652
2022-06-30,=9417.3110,=10161.6732,=2352725814436.3496,=1724204053154,=1175204079347.5295,=12.4154,=0.2421,=16.6020,=14.0422,=11.8652
2022-06-29,=9125.9670,=9846.1127,=2290183008155.9702,=1672229130966,=1139000371533.2903,=12.0993,=0.2193,=16.6020,=14.0430,=11.8652
2022-06-28,=9298.6378,=10031.4223,=2333001001031.1997,=1703459056250,=1160393952529.0728,=12.2846,=0.2240,=16.6022,=14.0439,=11.8642
2022-06-27,=8903.2960,=9604.9254,=2243071292066.7300,=1624499071569,=1111188096163.1711,=11.9345,=0.2055,=16.6022,=14.0591,=11.8642
2022-06-24,=8762.7832,=9453.3394,=2214968889673,=1599643177504,=1093775224068.5128,=11.8112,=0.1971,=16.6022,=14.0744,=11.8642
2022-06-23,=8640.5683,=9318.6839,=2184334835469.9399,=1577868079504,=1078191541681.1040,=11.6872,=0.1829,=16.6022,=14.0807,=11.8652
2022-06-22,=8433.3599,=9095.2136,=2134438261513.2097,=1537648413660,=1052811619892.4775,=11.3257,=0.1584,=16.6022,=14.0870,=11.9224
2022-06-21,=8694.5674,=9376.3048,=2197438089543.4795,=1584052304868,=1085351898144.5348,=11.7023,=0.1878,=16.6091,=14.0901,=11.9224
2022-06-20,=8791.3586,=9480.3425,=2220692766073.8799,=1601215454278,=1097659163586.5052,=11.7947,=0.1924,=16.6091,=14.0933,=11.9265
2022-06-17,=8667.4154,=9346.6858,=2189543293143.4600,=1564437046701,=1082412542256.6052,=11.6872,=0.1825,=16.6091,=14.0972,=11.9756
2022-06-16,=8695.5132,=9375.7984,=2196969206251.3296,=1569738399435,=1085792937907.7034,=11.7429,=0.1871,=16.6091,=14.1010,=11.9792
2022-06-15,=8551.7202,=9220.7559,=2167161249443.6897,=1541608941474,=1068428262530.3531,=11.5202,=0.1728,=16.6091,=14.1101,=11.9955
2022-06-14,=8474.0587,=9137.0186,=2149677956829.6699,=1526264590425,=1058674714362.0120,=11.3950,=0.1686,=16.6128,=14.1192,=11.9955
2022-06-13,=8661.7661,=9339.0223,=2193482835471.2200,=1560927130554,=1081863116553.8846,=11.6976,=0.1836,=16.6128,=14.1313,=12.0240
2022-06-10,=8778.7855,=9465.1914,=1595085282843.6204,=1407912048940,=921928170948.0630,=9.8059,=0.0500,=16.6128,=14.1434,=12.0429
2022-06-09,=8613.9142,=9287.4289,=1566998070211.2004,=1380358915417,=905124509007.1410,=9.6627,=0.0412,=16.6128,=14.1572,=12.0559
2022-06-08,=8897.9410,=9593.6635,=1622415560321.8201,=1426437989145,=935317105450.2870,=10.0931,=0.0723,=16.6128,=14.1709,=12.0722
2022-06-07,=8923.3388,=9620.8157,=1627585036890.7195,=1430840053874,=937775557840.4352,=10.1130,=0.0768,=16.6149,=14.1786,=12.0722
2022-06-06,=9092.1892,=9802.8640,=1660348561164.7500,=1460369320489,=956133101058.8152,=10.3121,=0.0888,=16.6149,=14.1863,=12.0745
2022-06-02,=8852.4406,=9544.3759,=1616485932174.1802,=1421119419739,=930700363116.9896,=10.0627,=0.0681,=16.6149,=14.1892,=12.0908
2022-06-01,=8572.5804,=9234.8529,=1562067928227.7600,=1373273345267,=900963550113.7568,=9.7327,=0.0445,=16.6149,=14.1921,=12.1250
2022-05-31,=8599.7770,=9264.1505,=1566694230648.7900,=1377894550389,=903792898483.7244,=9.7536,=0.0461,=16.6149,=14.1950,=12.1452
2022-05-30,=8439.1385,=9091.1020,=1534878014318.1399,=1351529274608,=886756143651.6193,=9.5738,=0.0357,=16.6220,=14.1979,=12.1452
2022-05-27,=8333.7011,=8977.5191,=1513840358307.9700,=1333778732594,=874716740837.8195,=9.4459,=0.0224,=16.6220,=14.1989,=12.2312
2022-05-26,=8383.3188,=9030.4528,=1522779444342.6399,=1341672880581,=880174888422.8387,=9.4849,=0.0254,=16.6220,=14.2000,=12.3042
2022-05-25,=8448.8275,=9100.4367,=1536476120479.5901,=1352207988212,=887352566327.0138,=9.5457,=0.0269,=16.6220,=14.2010,=12.3075
