日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2023-12-11,=7004.8747,=7589.3813,=2194679027121.8601,=1554788452638,=1071282879588.2600,=56.8054,=0.3992,=79.5038,=58.3434,=41.7237
2023-12-08,=6913.7918,=7490.6982,=1953786677046.4397,=1452770731100,=985168845462.7800,=55.0980,=0.3671,=79.5038,=58.3529,=41.7237
2023-12-07,=6770.9720,=7335.9611,=1919210048752.1299,=1422778072443,=964957895594.9000,=54.2512,=0.3464,=79.5038,=58.3606,=41.7237
2023-12-06,=6852.5530,=7424.3495,=1931781943058.9604,=1440074115968,=976339398852.8900,=55.0905,=0.3659,=79.5038,=58.3684,=41.7237
2023-12-05,=6865.8776,=7438.7859,=1936011586747.7400,=1442774001393,=977803909796.2000,=55.3040,=0.3682,=79.5038,=58.3710,=41.7237
2023-12-04,=7061.8518,=7651.1128,=1984819268999.2097,=1483109745559,=1005229265617.5298,=56.8509,=0.4242,=79.5827,=58.3737,=41.6958
2023-12-01,=7155.3182,=7752.3784,=2011334920747.3501,=1501982382912,=1018615280473.9602,=57.8005,=0.4640,=79.5827,=58.3939,=41.6958
2023-11-30,=7129.6052,=7724.5198,=1998115173563.5105,=1497409174245,=1014780252477.0498,=57.9042,=0.4702,=79.5827,=58.4142,=41.6958
2023-11-29,=7137.8694,=7733.4735,=2000404533978.2800,=1500657252236,=1015899666733.4700,=58.2552,=0.4928,=79.5827,=58.4180,=41.6958
2023-11-28,=7137.1120,=7732.6530,=2005172099122.5801,=1500759291691,=1016030275081.2400,=58.2187,=0.4923,=79.5827,=58.4217,=41.6958
2023-11-27,=7152.3136,=7749.1231,=2010439832172.4497,=1504447543137,=1017974939403.5402,=58.1496,=0.4860,=79.6071,=58.4302,=41.6422
2023-11-24,=7068.0138,=7656.6062,=1984469866475.2495,=1485777747207,=1005800876586.0400,=57.8483,=0.4681,=79.6071,=58.4387,=41.6422
2023-11-23,=7163.5647,=7760.1141,=2003869669147.6499,=1506640557744,=1019263486409.9900,=58.7818,=0.5179,=79.6071,=58.4755,=41.6422
2023-11-22,=7099.1734,=7690.3606,=1984995799417.1704,=1494176093601,=1009931506707.2198,=58.1589,=0.4865,=79.6071,=58.4387,=41.6422
2023-11-21,=7208.3974,=7808.6802,=2017683959624.7695,=1517482093491,=1025539799049.1500,=59.4713,=0.5392,=79.6071,=58.4755,=41.6422
2023-11-20,=7275.5271,=7881.4001,=2037693556674.0500,=1531955947448,=1035216445969.7300,=60.2515,=0.5591,=79.6333,=58.4387,=41.6005
